Company,Ticker,Type,InvestedBy,RecentAdds,RecentDels,investorTypeCount,investorType,InvestedByList,RecentAddsList,RecentDelsList
Home First Finan,HOMEFIRST,ALL,1,0,1,1,FII,Small Cap World Fund Inc,,Small Cap World Fund Inc
Honasa Consumer,HONASA,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
ICICI Securities,ISEC,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
IIFL Finance,IIFL,ALL,1,1,0,1,FII,Small Cap World Fund Inc,Small Cap World Fund Inc,
Indigo Paints,INDIGOPNTS,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Inox Wind,INOXWIND,ALL,1,1,0,1,FII,Small Cap World Fund Inc,Small Cap World Fund Inc,
Jamna Auto Inds.,JAMNAAUTO,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Kotak Mah. Bank,KOTAKBANK,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Manappuram Fin.,MANAPPURAM,ALL,1,1,0,1,FII,Small Cap World Fund Inc,Small Cap World Fund Inc,
Max Financial,MFSL,ALL,2,0,0,1,FII,Small Cap World Fund Inc | Jupiter India Fund,,
Mayur Uniquoters,MAYURUNIQ,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
MRF,MRF,ALL,2,0,2,1,FII,Small Cap World Fund Inc | NALANDA INDIA EQUITY FUND nLIMITED,,Small Cap World Fund Inc | NALANDA INDIA EQUITY FUND nLIMITED
Petronet LNG,PETRONET,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Piramal Enterp.,PEL,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Quess Corp,QUESS,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Relaxo Footwear,RELAXO,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Reliance Communi,RCOM,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
S H Kelkar & Co.,SHK,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Sammaan Capital,SAMMAANCAP,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Shriram Finance,SHRIRAMFIN,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
SIS,SIS,ALL,1,0,1,1,FII,Small Cap World Fund Inc,,Small Cap World Fund Inc
Suprajit Engg.,SUPRAJIT,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Talwal.Better,TALWALKARS,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Talwalkars Heal.,TALWGYM,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
